tag,particle,p0mode,method,weight,energy_GeV,nEvents,bias_mu,reso_sigma,bias_err,reso_err,fit_ok
main_p0free,gamma,p0free,0,0,1,1000,1.02421,0.146353,0.00470153,0.0033262,1
main_p0free,gamma,p0free,0,0,3,1000,1.01521,0.099286,0.00316031,0.00223581,1
main_p0free,gamma,p0free,0,0,5,1000,1.00906,0.0740113,0.00236904,0.00167603,1
main_p0free,gamma,p0free,0,0,7,1000,1.00469,0.0703004,0.00223882,0.00158389,1
main_p0free,gamma,p0free,0,0,9,1000,1.00665,0.063375,0.00205455,0.00120983,1
main_p0free,gamma,p0free,0,0,10,1000,1.00053,0.05855,0.00186178,0.00131714,1
main_p0free,gamma,p0free,0,0,20,1000,0.996385,0.044649,0.00141976,0.00100443,1
main_p0free,gamma,p0free,0,0,30,1000,0.996315,0.0358755,0.00114367,0.000809107,1
main_p0free,gamma,p0free,0,0,40,1000,0.998126,0.0313451,0.000997726,0.000705856,1
main_p0free,gamma,p0free,1,0,1,1000,1.06203,0.148738,0.0048005,0.00339624,1
main_p0free,gamma,p0free,1,0,3,1000,1.02013,0.100776,0.00321426,0.00227399,1
main_p0free,gamma,p0free,1,0,5,1000,1.0094,0.0749167,0.0023968,0.00169566,1
main_p0free,gamma,p0free,1,0,7,1000,1.00335,0.0693439,0.00221173,0.00156472,1
main_p0free,gamma,p0free,1,0,9,1000,1.004,0.0604996,0.00193259,0.00136724,1
main_p0free,gamma,p0free,1,0,10,1000,0.99924,0.0581956,0.00185145,0.00130984,1
main_p0free,gamma,p0free,1,0,20,1000,0.995411,0.0440754,0.00140222,0.000992024,1
main_p0free,gamma,p0free,1,0,30,1000,0.996426,0.0357236,0.00113767,0.000804864,1
main_p0free,gamma,p0free,1,0,40,1000,0.998348,0.0311496,0.000992006,0.00070181,1
main_p0free,gamma,p0free,2,0,1,1000,0.892955,0.150519,0.00483037,0.00341735,1
main_p0free,gamma,p0free,2,0,3,1000,0.988633,0.0994861,0.00317311,0.00224487,1
main_p0free,gamma,p0free,2,0,5,1000,1.0028,0.0738161,0.00236522,0.00167332,1
main_p0free,gamma,p0free,2,0,7,1000,1.00611,0.0699863,0.00223335,0.00158002,1
main_p0free,gamma,p0free,2,0,9,1000,1.01155,0.0616405,0.00196703,0.00139161,1
main_p0free,gamma,p0free,2,0,10,1000,1.00828,0.0592503,0.0018831,0.00133223,1
main_p0free,gamma,p0free,2,0,20,1000,1.00462,0.0440146,0.00140171,0.000991662,1
main_p0free,gamma,p0free,2,0,30,1000,0.999577,0.0351965,0.00112088,0.000792988,1
main_p0free,gamma,p0free,2,0,40,1000,0.993748,0.0299785,0.000953745,0.000674741,1
main_p0free,gamma,p0free,0,1,1,1000,1.06025,0.146676,0.00471193,0.00333356,1
main_p0free,gamma,p0free,0,1,3,1000,1.02763,0.0996303,0.00317127,0.00224356,1
main_p0free,gamma,p0free,0,1,5,1000,1.01684,0.07462,0.0023873,0.00168894,1
main_p0free,gamma,p0free,0,1,7,1000,1.01016,0.0707358,0.00225154,0.00159289,1
main_p0free,gamma,p0free,0,1,9,1000,1.00931,0.0610366,0.00194875,0.00137868,1
main_p0free,gamma,p0free,0,1,10,1000,1.00384,0.0584859,0.00186069,0.00131637,1
main_p0free,gamma,p0free,0,1,20,1000,0.997711,0.0447725,0.00142296,0.0010067,1
main_p0free,gamma,p0free,0,1,30,1000,0.996952,0.0360369,0.00114765,0.000811922,1
main_p0free,gamma,p0free,0,1,40,1000,0.998195,0.0313648,0.000997847,0.000705942,1
main_p0free,gamma,p0free,1,1,1,1000,1.1338,0.148138,0.00480372,0.00339853,1
main_p0free,gamma,p0free,1,1,3,1000,1.04042,0.102251,0.00326796,0.00231198,1
main_p0free,gamma,p0free,1,1,5,1000,1.01959,0.0767057,0.00255625,0.00148378,1
main_p0free,gamma,p0free,1,1,7,1000,1.0094,0.0705782,0.00224767,0.00159015,1
main_p0free,gamma,p0free,1,1,9,1000,1.00841,0.0608444,0.0019446,0.00137574,1
main_p0free,gamma,p0free,1,1,10,1000,1.00286,0.0586998,0.00186749,0.00132118,1
main_p0free,gamma,p0free,1,1,20,1000,0.996306,0.0436989,0.00139166,0.00098455,1
main_p0free,gamma,p0free,1,1,30,1000,0.996693,0.0354747,0.00112974,0.000799255,1
main_p0free,gamma,p0free,1,1,40,1000,0.99829,0.0310016,0.000987292,0.000698475,1
main_p0free,gamma,p0free,2,1,1,1000,0.766319,0.153416,0.00492842,0.00348672,1
main_p0free,gamma,p0free,2,1,3,1000,0.960422,0.102203,0.0032581,0.00230499,1
main_p0free,gamma,p0free,2,1,5,1000,0.992791,0.0754824,0.00241861,0.00171109,1
main_p0free,gamma,p0free,2,1,7,1000,1.00303,0.0711704,0.00227114,0.00160675,1
main_p0free,gamma,p0free,2,1,9,1000,1.01209,0.0625986,0.00199658,0.00141252,1
main_p0free,gamma,p0free,2,1,10,1000,1.00951,0.0596949,0.00189819,0.0013429,1
main_p0free,gamma,p0free,2,1,20,1000,1.00871,0.0441069,0.00140394,0.000993237,1
main_p0free,gamma,p0free,2,1,30,1000,1.00212,0.0348427,0.00110962,0.000785016,1
main_p0free,gamma,p0free,2,1,40,1000,0.993761,0.0294866,0.000938094,0.000663668,1
main_p0free,neutron,p0free,0,0,20.0221,984,1.6072,0.128461,0.00422149,0.00298666,1
main_p0free,neutron,p0free,0,0,50.0088,988,1.19958,0.120354,0.00395721,0.00279968,1
main_p0free,neutron,p0free,0,0,100.004,977,1.06895,0.115845,0.00386365,0.00273353,1
main_p0free,neutron,p0free,0,0,150.003,977,1.02728,0.120744,0.00404735,0.00286352,1
main_p0free,neutron,p0free,0,0,200.002,980,0.994952,0.127177,0.00424394,0.00300259,1
main_p0free,neutron,p0free,0,0,300.001,977,0.973911,0.107631,0.00379195,0.0002337,1
main_p0free,neutron,p0free,1,0,20.0221,984,1.53942,0.347205,0.0110911,0.00784657,1
main_p0free,neutron,p0free,1,0,50.0088,988,1.19131,0.178198,0.00574532,0.00406467,1
main_p0free,neutron,p0free,1,0,100.004,977,1.07083,0.127579,0.00422457,0.00298886,1
main_p0free,neutron,p0free,1,0,150.003,977,1.03013,0.123108,0.00411966,0.00291467,1
main_p0free,neutron,p0free,1,0,200.002,980,0.996987,0.125625,0.00419449,0.00296761,1
main_p0free,neutron,p0free,1,0,300.001,977,0.974823,0.129702,0.00433064,0.00306393,1
main_p0free,neutron,p0free,2,0,20.0221,984,1.33051,0.190417,0.00618447,0.00437539,1
main_p0free,neutron,p0free,2,0,50.0088,988,1.20444,0.157402,0.00516142,0.00365164,1
main_p0free,neutron,p0free,2,0,100.004,977,1.13372,0.135609,0.0045053,0.00318749,1
main_p0free,neutron,p0free,2,0,150.003,977,1.08779,0.125047,0.00419158,0.00296556,1
main_p0free,neutron,p0free,2,0,200.002,980,1.03284,0.117125,0.00391943,0.00277301,1
main_p0free,neutron,p0free,2,0,300.001,977,0.948978,0.0947416,0.00319012,0.00225703,1
main_p0free,neutron,p0free,0,1,20.0221,984,2.32796,0.121217,0.00397913,0.00281519,1
main_p0free,neutron,p0free,0,1,50.0088,988,1.4499,0.112872,0.0037112,0.00262563,1
main_p0free,neutron,p0free,0,1,100.004,977,1.16138,0.108731,0.00362436,0.00256424,1
main_p0free,neutron,p0free,0,1,150.003,977,1.06716,0.113338,0.00379697,0.00268637,1
main_p0free,neutron,p0free,0,1,200.002,980,1.00991,0.118616,0.00395828,0.00280048,1
main_p0free,neutron,p0free,0,1,300.001,977,0.964717,0.124053,0.00413509,0.00292558,1
main_p0free,neutron,p0free,1,1,20.0221,984,2.1662,0.547926,0.0174761,0.0123638,1
main_p0free,neutron,p0free,1,1,50.0088,988,1.41685,0.228535,0.00728912,0.00515681,1
main_p0free,neutron,p0free,1,1,100.004,977,1.21273,0.0896716,0.00410058,0.00162782,1
main_p0free,neutron,p0free,1,1,150.003,977,1.068,0.122232,0.00407668,0.00288425,1
main_p0free,neutron,p0free,1,1,200.002,980,1.00841,0.12441,0.00412643,0.00291943,1
main_p0free,neutron,p0free,1,1,300.001,977,0.963227,0.121844,0.00406373,0.00287509,1
main_p0free,neutron,p0free,2,1,20.0221,984,1.82417,0.192864,0.00625405,0.00442461,1
main_p0free,neutron,p0free,2,1,50.0088,988,1.36858,0.158907,0.00519403,0.0036747,1
main_p0free,neutron,p0free,2,1,100.004,977,1.19334,0.133278,0.00442299,0.00312925,1
main_p0free,neutron,p0free,2,1,150.003,977,1.11473,0.122799,0.00411162,0.00290899,1
main_p0free,neutron,p0free,2,1,200.002,980,1.0472,0.113293,0.00379333,0.00268379,1
main_p0free,neutron,p0free,2,1,300.001,977,0.950855,0.0943132,0.0031703,0.00224301,1
main_p0zero,gamma,p0zero,0,0,1,1000,1.065,0.145889,0.00468663,0.00331566,1
main_p0zero,gamma,p0zero,0,0,3,1000,1.02746,0.098613,0.00314048,0.00222178,1
main_p0zero,gamma,p0zero,0,0,5,1000,1.01514,0.0734362,0.00235184,0.00166386,1
main_p0zero,gamma,p0zero,0,0,7,1000,1.00829,0.0696366,0.00221993,0.00157053,1
main_p0zero,gamma,p0zero,0,0,9,1000,1.00774,0.0603573,0.00192903,0.00136472,1
main_p0zero,gamma,p0zero,0,0,10,1000,1.0028,0.0583797,0.00185636,0.00131331,1
main_p0zero,gamma,p0zero,0,0,20,1000,0.996754,0.044565,0.00141708,0.00100254,1
main_p0zero,gamma,p0zero,0,0,30,1000,0.996053,0.0358379,0.00114247,0.00080826,1
main_p0zero,gamma,p0zero,0,0,40,1000,0.997664,0.0314101,0.000999288,0.000706961,1
main_p0zero,gamma,p0zero,1,0,1,1000,1.04802,0.148085,0.0047819,0.00338308,1
main_p0zero,gamma,p0zero,1,0,3,1000,1.01628,0.100669,0.00321084,0.00227156,1
main_p0zero,gamma,p0zero,1,0,5,1000,1.00754,0.0749346,0.00239737,0.00169606,1
main_p0zero,gamma,p0zero,1,0,7,1000,1.00223,0.0694304,0.00221449,0.00156667,1
main_p0zero,gamma,p0zero,1,0,9,1000,1.00313,0.0603645,0.00192926,0.00136489,1
main_p0zero,gamma,p0zero,1,0,10,1000,0.998652,0.058239,0.00185283,0.00131081,1
main_p0zero,gamma,p0zero,1,0,20,1000,0.995356,0.0441245,0.00140379,0.000993131,1
main_p0zero,gamma,p0zero,1,0,30,1000,0.996509,0.0357532,0.00113861,0.00080553,1
main_p0zero,gamma,p0zero,1,0,40,1000,0.998562,0.0312482,0.000994642,0.000703674,1
main_p0zero,gamma,p0zero,2,0,1,1000,1.05547,0.147163,0.00471781,0.00333771,1
main_p0zero,gamma,p0zero,2,0,3,1000,1.02721,0.0965408,0.00308074,0.00217952,1
main_p0zero,gamma,p0zero,2,0,5,1000,1.0178,0.0722036,0.00231237,0.00163593,1
main_p0zero,gamma,p0zero,2,0,7,1000,1.013,0.0691718,0.00220512,0.00156005,1
main_p0zero,gamma,p0zero,2,0,9,1000,1.0139,0.0607235,0.00193875,0.0013716,1
main_p0zero,gamma,p0zero,2,0,10,1000,1.0093,0.0584938,0.00185999,0.00131588,1
main_p0zero,gamma,p0zero,2,0,20,1000,1.00206,0.0440417,0.00140329,0.000992778,1
main_p0zero,gamma,p0zero,2,0,30,1000,0.997701,0.0354405,0.0011298,0.000799297,1
main_p0zero,gamma,p0zero,2,0,40,1000,0.994315,0.0304268,0.000968988,0.000685526,1
main_p0zero,gamma,p0zero,0,1,1,1000,1.07032,0.146592,0.00470923,0.00333165,1
main_p0zero,gamma,p0zero,0,1,3,1000,1.03068,0.0995643,0.00316917,0.00224208,1
main_p0zero,gamma,p0zero,0,1,5,1000,1.01849,0.0745624,0.00238546,0.00168764,1
main_p0zero,gamma,p0zero,0,1,7,1000,1.01142,0.0708942,0.00225545,0.00159565,1
main_p0zero,gamma,p0zero,0,1,9,1000,1.01007,0.0610013,0.00194762,0.00137788,1
main_p0zero,gamma,p0zero,0,1,10,1000,1.00448,0.0584532,0.00185965,0.00131563,1
main_p0zero,gamma,p0zero,0,1,20,1000,0.996148,0.0435951,0.00149515,0.000858879,1
main_p0zero,gamma,p0zero,0,1,30,1000,0.99694,0.0360258,0.00114729,0.000811671,1
main_p0zero,gamma,p0zero,0,1,40,1000,0.997453,0.032476,0.00103587,0.000597062,1
main_p0zero,gamma,p0zero,1,1,1,1000,1.04754,0.150967,0.00487497,0.00344893,1
main_p0zero,gamma,p0zero,1,1,3,1000,1.01626,0.102176,0.00326224,0.00230793,1
main_p0zero,gamma,p0zero,1,1,5,1000,1.00759,0.0775955,0.00247617,0.00175181,1
main_p0zero,gamma,p0zero,1,1,7,1000,1.00241,0.070336,0.00224223,0.0015863,1
main_p0zero,gamma,p0zero,1,1,9,1000,1.00314,0.0612992,0.00195713,0.00138461,1
main_p0zero,gamma,p0zero,1,1,10,1000,0.998524,0.0585763,0.0018645,0.00131907,1
main_p0zero,gamma,p0zero,1,1,20,1000,0.995828,0.0442827,0.00140811,0.000996186,1
main_p0zero,gamma,p0zero,1,1,30,1000,0.996819,0.0356337,0.00113481,0.000802839,1
main_p0zero,gamma,p0zero,1,1,40,1000,0.998982,0.0312598,0.000994505,0.000703578,1
main_p0zero,gamma,p0zero,2,1,1,1000,1.07378,0.148302,0.00475923,0.00336702,1
main_p0zero,gamma,p0zero,2,1,3,1000,1.03987,0.0978075,0.00312116,0.00220812,1
main_p0zero,gamma,p0zero,2,1,5,1000,1.02912,0.0728826,0.00233531,0.00165216,1
main_p0zero,gamma,p0zero,2,1,7,1000,1.02211,0.0692769,0.00221072,0.00156401,1
main_p0zero,gamma,p0zero,2,1,9,1000,1.02184,0.0609524,0.00194606,0.00137677,1
main_p0zero,gamma,p0zero,2,1,10,1000,1.01472,0.0597693,0.00195172,0.00113017,1
main_p0zero,gamma,p0zero,2,1,20,1000,1.00612,0.0440694,0.00140274,0.000992393,1
main_p0zero,gamma,p0zero,2,1,30,1000,0.999648,0.0351996,0.00112155,0.00079346,1
main_p0zero,gamma,p0zero,2,1,40,1000,0.994233,0.0301946,0.000960617,0.000679603,1
main_p0zero,neutron,p0zero,0,0,20.0221,984,0.914172,0.135787,0.00447432,0.00316554,1
main_p0zero,neutron,p0zero,0,0,50.0088,988,0.969153,0.127464,0.00419551,0.00296828,1
main_p0zero,neutron,p0zero,0,0,100.004,977,0.99409,0.123035,0.0041103,0.00290805,1
main_p0zero,neutron,p0zero,0,0,150.003,977,1.00439,0.127374,0.0042792,0.00302756,1
main_p0zero,neutron,p0zero,0,0,200.002,980,0.995297,0.136122,0.00454752,0.00321738,1
main_p0zero,neutron,p0zero,0,0,300.001,977,1.00264,0.142906,0.00476882,0.00337394,1
main_p0zero,neutron,p0zero,1,0,20.0221,984,1.52929,0.362806,0.0115835,0.00819495,1
main_p0zero,neutron,p0zero,1,0,50.0088,988,1.1884,0.181653,0.00585368,0.00414133,1
main_p0zero,neutron,p0zero,1,0,100.004,977,1.06944,0.129207,0.0042738,0.00302369,1
main_p0zero,neutron,p0zero,1,0,150.003,977,1.02962,0.123931,0.00414486,0.0029325,1
main_p0zero,neutron,p0zero,1,0,200.002,980,0.997068,0.125744,0.00419846,0.00297042,1
main_p0zero,neutron,p0zero,1,0,300.001,977,0.975005,0.12978,0.00433323,0.00306577,1
main_p0zero,neutron,p0zero,2,0,20.0221,984,1.08092,0.194408,0.00632745,0.00447656,1
main_p0zero,neutron,p0zero,2,0,50.0088,988,1.14838,0.162311,0.00532811,0.00376957,1
main_p0zero,neutron,p0zero,2,0,100.004,977,1.13237,0.140642,0.00467252,0.0033058,1
main_p0zero,neutron,p0zero,2,0,150.003,977,1.09775,0.127205,0.00426631,0.00301843,1
main_p0zero,neutron,p0zero,2,0,200.002,980,1.0431,0.115869,0.00388395,0.00274791,1
main_p0zero,neutron,p0zero,2,0,300.001,977,0.94798,0.087976,0.00296905,0.00210063,1
main_p0zero,neutron,p0zero,0,1,20.0221,984,0.911886,0.135586,0.00446772,0.00316087,1
main_p0zero,neutron,p0zero,0,1,50.0088,988,0.967432,0.127491,0.0041964,0.00296891,1
main_p0zero,neutron,p0zero,0,1,100.004,977,0.992614,0.122944,0.00410727,0.0029059,1
main_p0zero,neutron,p0zero,0,1,150.003,977,1.0026,0.127956,0.00429634,0.00303969,1
main_p0zero,neutron,p0zero,0,1,200.002,980,0.993667,0.136621,0.00456164,0.00322737,1
main_p0zero,neutron,p0zero,0,1,300.001,977,1.00245,0.141505,0.00472735,0.00334461,1
main_p0zero,neutron,p0zero,1,1,20.0221,984,2.08705,0.641377,0.0204568,0.0144725,1
main_p0zero,neutron,p0zero,1,1,50.0088,988,1.39743,0.252348,0.00804455,0.00569125,1
main_p0zero,neutron,p0zero,1,1,100.004,977,1.2143,0.0916041,0.0042307,0.00128058,1
main_p0zero,neutron,p0zero,1,1,150.003,977,1.06635,0.124612,0.00415604,0.0029404,1
main_p0zero,neutron,p0zero,1,1,200.002,980,1.00834,0.125508,0.00416284,0.0029452,1
main_p0zero,neutron,p0zero,1,1,300.001,977,0.964218,0.12251,0.00408594,0.0028908,1
main_p0zero,neutron,p0zero,2,1,20.0221,984,1.12133,0.212406,0.00690226,0.00488322,1
main_p0zero,neutron,p0zero,2,1,50.0088,988,1.19074,0.175579,0.00575127,0.00406894,1
main_p0zero,neutron,p0zero,2,1,100.004,977,1.17096,0.145913,0.00484763,0.00342969,1
main_p0zero,neutron,p0zero,2,1,150.003,977,1.12885,0.128722,0.00431964,0.00305617,1
main_p0zero,neutron,p0zero,2,1,200.002,980,1.06554,0.114515,0.00384071,0.00271732,1
main_p0zero,neutron,p0zero,2,1,300.001,977,0.951723,0.0808649,0.00273373,0.00193415,1
main_p0ridge,gamma,p0ridge,0,0,1,1000,1.02439,0.146351,0.00470146,0.00332615,1
main_p0ridge,gamma,p0ridge,0,0,3,1000,1.01299,0.101288,0.00334453,0.00203728,1
main_p0ridge,gamma,p0ridge,0,0,5,1000,1.00909,0.0740098,0.002369,0.00167599,1
main_p0ridge,gamma,p0ridge,0,0,7,1000,1.00471,0.0702993,0.00223879,0.00158386,1
main_p0ridge,gamma,p0ridge,0,0,9,1000,1.00521,0.0607219,0.00193969,0.00137227,1
main_p0ridge,gamma,p0ridge,0,0,10,1000,1.00054,0.0585492,0.00186176,0.00131713,1
main_p0ridge,gamma,p0ridge,0,0,20,1000,0.996387,0.0446486,0.00141974,0.00100442,1
main_p0ridge,gamma,p0ridge,0,0,30,1000,0.996314,0.0358753,0.00114366,0.000809103,1
main_p0ridge,gamma,p0ridge,0,0,40,1000,0.998124,0.031345,0.000997722,0.000705854,1
main_p0ridge,gamma,p0ridge,1,0,1,1000,1.06195,0.148737,0.00480046,0.00339621,1
main_p0ridge,gamma,p0ridge,1,0,3,1000,1.02011,0.100776,0.00321424,0.00227397,1
main_p0ridge,gamma,p0ridge,1,0,5,1000,1.00939,0.0749167,0.0023968,0.00169566,1
main_p0ridge,gamma,p0ridge,1,0,7,1000,1.00334,0.0693444,0.00221174,0.00156473,1
main_p0ridge,gamma,p0ridge,1,0,9,1000,1.004,0.0604999,0.0019326,0.00136725,1
main_p0ridge,gamma,p0ridge,1,0,10,1000,0.999236,0.0581959,0.00185146,0.00130984,1
main_p0ridge,gamma,p0ridge,1,0,20,1000,0.99541,0.0440756,0.00140223,0.00099203,1
main_p0ridge,gamma,p0ridge,1,0,30,1000,0.996426,0.0357238,0.00113768,0.000804868,1
main_p0ridge,gamma,p0ridge,1,0,40,1000,0.998348,0.0311497,0.000992008,0.000701811,1
main_p0ridge,gamma,p0ridge,2,0,1,1000,0.894377,0.150481,0.00482916,0.0034165,1
main_p0ridge,gamma,p0ridge,2,0,3,1000,0.988971,0.0994619,0.00317234,0.00224433,1
main_p0ridge,gamma,p0ridge,2,0,5,1000,1.00294,0.0737993,0.00236468,0.00167294,1
main_p0ridge,gamma,p0ridge,2,0,7,1000,1.00617,0.0699749,0.00223299,0.00157977,1
main_p0ridge,gamma,p0ridge,2,0,9,1000,1.01157,0.0616336,0.00196681,0.00139145,1
main_p0ridge,gamma,p0ridge,2,0,10,1000,1.00829,0.0592449,0.00188293,0.0013321,1
main_p0ridge,gamma,p0ridge,2,0,20,1000,1.0046,0.0440155,0.00140174,0.000991682,1
main_p0ridge,gamma,p0ridge,2,0,30,1000,0.999563,0.0352002,0.001121,0.000793071,1
main_p0ridge,gamma,p0ridge,2,0,40,1000,0.993753,0.0299834,0.000953899,0.00067485,1
main_p0ridge,gamma,p0ridge,0,1,1,1000,1.06027,0.146676,0.00471192,0.00333355,1
main_p0ridge,gamma,p0ridge,0,1,3,1000,1.02764,0.0996302,0.00317126,0.00224356,1
main_p0ridge,gamma,p0ridge,0,1,5,1000,1.01684,0.0746199,0.0023873,0.00168894,1
main_p0ridge,gamma,p0ridge,0,1,7,1000,1.01016,0.0707357,0.00225154,0.00159289,1
main_p0ridge,gamma,p0ridge,0,1,9,1000,1.00932,0.0610365,0.00194875,0.00137867,1
main_p0ridge,gamma,p0ridge,0,1,10,1000,1.00384,0.0584859,0.00186068,0.00131637,1
main_p0ridge,gamma,p0ridge,0,1,20,1000,0.997711,0.0447725,0.00142296,0.0010067,1
main_p0ridge,gamma,p0ridge,0,1,30,1000,0.996951,0.0360369,0.00114765,0.000811922,1
main_p0ridge,gamma,p0ridge,0,1,40,1000,0.998195,0.0313648,0.000997847,0.000705942,1
main_p0ridge,gamma,p0ridge,1,1,1,1000,1.13361,0.148138,0.00480372,0.00339853,1
main_p0ridge,gamma,p0ridge,1,1,3,1000,1.04037,0.10225,0.00326791,0.00231194,1
main_p0ridge,gamma,p0ridge,1,1,5,1000,1.01929,0.0774052,0.00247262,0.0017493,1
main_p0ridge,gamma,p0ridge,1,1,7,1000,1.00938,0.0705784,0.00224768,0.00159015,1
main_p0ridge,gamma,p0ridge,1,1,9,1000,1.0084,0.0608446,0.0019446,0.00137574,1
main_p0ridge,gamma,p0ridge,1,1,10,1000,1.00285,0.0586999,0.00186749,0.00132118,1
main_p0ridge,gamma,p0ridge,1,1,20,1000,0.996304,0.0436994,0.00139167,0.00098456,1
main_p0ridge,gamma,p0ridge,1,1,30,1000,0.996694,0.035475,0.00112976,0.000799263,1
main_p0ridge,gamma,p0ridge,1,1,40,1000,0.998291,0.0310018,0.000987297,0.000698479,1
main_p0ridge,gamma,p0ridge,2,1,1,1000,0.767492,0.153392,0.00492768,0.00348619,1
main_p0ridge,gamma,p0ridge,2,1,3,1000,0.960726,0.102188,0.00325762,0.00230466,1
main_p0ridge,gamma,p0ridge,2,1,5,1000,0.992929,0.0754721,0.00241828,0.00171086,1
main_p0ridge,gamma,p0ridge,2,1,7,1000,1.0031,0.0711628,0.0022709,0.00160659,1
main_p0ridge,gamma,p0ridge,2,1,9,1000,1.01213,0.0625935,0.00199642,0.0014124,1
main_p0ridge,gamma,p0ridge,2,1,10,1000,1.00954,0.0596906,0.00189805,0.0013428,1
main_p0ridge,gamma,p0ridge,2,1,20,1000,1.0087,0.0441065,0.00140393,0.000993229,1
main_p0ridge,gamma,p0ridge,2,1,30,1000,1.00211,0.0348441,0.00110966,0.000785049,1
main_p0ridge,gamma,p0ridge,2,1,40,1000,0.993763,0.0294889,0.000938166,0.00066372,1
main_p0ridge,neutron,p0ridge,0,0,20.0221,984,1.60351,0.128505,0.00422292,0.00298767,1
main_p0ridge,neutron,p0ridge,0,0,50.0088,988,1.19835,0.120393,0.00395848,0.00280058,1
main_p0ridge,neutron,p0ridge,0,0,100.004,977,1.06855,0.11589,0.00386514,0.00273459,1
main_p0ridge,neutron,p0ridge,0,0,150.003,977,1.02715,0.120791,0.00404894,0.00286464,1
main_p0ridge,neutron,p0ridge,0,0,200.002,980,0.994949,0.12723,0.0042457,0.00300384,1
main_p0ridge,neutron,p0ridge,0,0,300.001,977,0.976348,0.133193,0.00443975,0.00314112,1
main_p0ridge,neutron,p0ridge,1,0,20.0221,984,1.53913,0.347567,0.0111026,0.00785475,1
main_p0ridge,neutron,p0ridge,1,0,50.0088,988,1.29863,0.0994313,0.00526481,0.0237314,1
main_p0ridge,neutron,p0ridge,1,0,100.004,977,1.07081,0.127594,0.00422507,0.00298922,1
main_p0ridge,neutron,p0ridge,1,0,150.003,977,1.03013,0.123114,0.00411985,0.00291481,1
main_p0ridge,neutron,p0ridge,1,0,200.002,980,0.996989,0.125628,0.00419459,0.00296768,1
main_p0ridge,neutron,p0ridge,1,0,300.001,977,0.974828,0.129704,0.0043307,0.00306398,1
main_p0ridge,neutron,p0ridge,2,0,20.0221,984,1.32835,0.190469,0.00618616,0.00437659,1
main_p0ridge,neutron,p0ridge,2,0,50.0088,988,1.20395,0.157454,0.00516311,0.00365284,1
main_p0ridge,neutron,p0ridge,2,0,100.004,977,1.13371,0.135651,0.00450671,0.00318849,1
main_p0ridge,neutron,p0ridge,2,0,150.003,977,1.08787,0.12507,0.00419237,0.00296612,1
main_p0ridge,neutron,p0ridge,2,0,200.002,980,1.03292,0.117128,0.00391953,0.00277308,1
main_p0ridge,neutron,p0ridge,2,0,300.001,977,0.948958,0.0947004,0.00318873,0.00225605,1
main_p0ridge,neutron,p0ridge,0,1,20.0221,984,2.32682,0.121229,0.00397954,0.00281548,1
main_p0ridge,neutron,p0ridge,0,1,50.0088,988,1.44951,0.112883,0.00371158,0.00262591,1
main_p0ridge,neutron,p0ridge,0,1,100.004,977,1.16124,0.108744,0.00362479,0.00256454,1
main_p0ridge,neutron,p0ridge,0,1,150.003,977,1.08007,0.0949742,0.0034003,0.000216376,1
main_p0ridge,neutron,p0ridge,0,1,200.002,980,1.0099,0.118631,0.00395877,0.00280083,1
main_p0ridge,neutron,p0ridge,0,1,300.001,977,0.964746,0.124069,0.00413562,0.00292595,1
main_p0ridge,neutron,p0ridge,1,1,20.0221,984,2.16588,0.548306,0.0174882,0.0123723,1
main_p0ridge,neutron,p0ridge,1,1,50.0088,988,1.41677,0.228625,0.00729201,0.00515886,1
main_p0ridge,neutron,p0ridge,1,1,100.004,977,1.21272,0.0896788,0.00410051,0.00162648,1
main_p0ridge,neutron,p0ridge,1,1,150.003,977,1.068,0.122241,0.00407698,0.00288447,1
main_p0ridge,neutron,p0ridge,1,1,200.002,980,1.0084,0.124415,0.00412657,0.00291953,1
main_p0ridge,neutron,p0ridge,1,1,300.001,977,0.963231,0.121847,0.00406382,0.00287515,1
main_p0ridge,neutron,p0ridge,2,1,20.0221,984,1.82301,0.1929,0.0062552,0.00442542,1
main_p0ridge,neutron,p0ridge,2,1,50.0088,988,1.36828,0.158938,0.00519505,0.00367542,1
main_p0ridge,neutron,p0ridge,2,1,100.004,977,1.1933,0.133301,0.00442374,0.00312978,1
main_p0ridge,neutron,p0ridge,2,1,150.003,977,1.12782,0.104897,0.00373827,0.000189203,1
main_p0ridge,neutron,p0ridge,2,1,200.002,980,1.04723,0.113298,0.00379349,0.0026839,1
main_p0ridge,neutron,p0ridge,2,1,300.001,977,0.950851,0.0942989,0.00316982,0.00224267,1
